2026-03-07 16:45:25,292 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Graphics-122882744-1-1-580x387.jpg (brilho=214.9 sat=47.1 fundo~41.6%)
2026-03-07 16:45:25,292 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,293 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-131661114, usando fallback completo
2026-03-07 16:45:25,312 | INFO | Laserflix | 📊 [quality] brilho=216.3 sat=42.7 fundo_branco~41.5% → vision=False
2026-03-07 16:45:25,313 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Graphics-122882749-1-1-580x387.jpg (brilho=216.3 sat=42.7 fundo~41.5%)
2026-03-07 16:45:25,314 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,314 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122536244, usando fallback completo
2026-03-07 16:45:25,370 | INFO | Laserflix | 📊 [quality] brilho=217.1 sat=41.7 fundo_branco~42.2% → vision=False
2026-03-07 16:45:25,371 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Graphics-122882752-1-1-580x387.jpg (brilho=217.1 sat=41.7 fundo~42.2%)
2026-03-07 16:45:25,372 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,373 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122536248, usando fallback completo
2026-03-07 16:45:25,398 | INFO | Laserflix | 📊 [quality] brilho=212.0 sat=54.1 fundo_branco~42.6% → vision=False
2026-03-07 16:45:25,399 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-Cutting-131586525-1-1-580x387.jpg (brilho=212.0 sat=54.1 fundo~42.6%)
2026-03-07 16:45:25,400 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,401 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122536251, usando fallback completo
2026-03-07 16:45:25,411 | INFO | Laserflix | Auto-save: 10/31 projetos
2026-03-07 16:45:25,426 | INFO | Laserflix | 📊 [quality] brilho=210.2 sat=54.0 fundo_branco~43.9% → vision=False
2026-03-07 16:45:25,427 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-Cutting-131586527-1-1-580x387.jpg (brilho=210.2 sat=54.0 fundo~43.9%)
2026-03-07 16:45:25,427 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,427 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122536258, usando fallback completo
2026-03-07 16:45:25,446 | INFO | Laserflix | 📊 [quality] brilho=211.9 sat=53.7 fundo_branco~45.7% → vision=False
2026-03-07 16:45:25,447 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-Cutting-131661012-1-1-580x387.jpg (brilho=211.9 sat=53.7 fundo~45.7%)
2026-03-07 16:45:25,448 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,448 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122882744, usando fallback completo
2026-03-07 16:45:25,467 | INFO | Laserflix | 📊 [quality] brilho=210.8 sat=55.6 fundo_branco~44.0% → vision=False
2026-03-07 16:45:25,468 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-Cutting-131661016-1-1-580x387.jpg (brilho=210.8 sat=55.6 fundo~44.0%)
2026-03-07 16:45:25,468 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,469 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122882749, usando fallback completo
2026-03-07 16:45:25,490 | INFO | Laserflix | 📊 [quality] brilho=210.5 sat=53.3 fundo_branco~45.0% → vision=False
2026-03-07 16:45:25,491 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-Cutting-131661017-1-1-580x387.jpg (brilho=210.5 sat=53.3 fundo~45.0%)
2026-03-07 16:45:25,491 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,492 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-Laser-Cut-Laser-cuttings-122882752, usando fallback completo
2026-03-07 16:45:25,605 | INFO | Laserflix | 📊 [quality] brilho=212.0 sat=65.1 fundo_branco~49.6% → vision=False
2026-03-07 16:45:25,606 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frames-Laser-Cut-Graphics-122882824-1-1-580x387.jpg (brilho=212.0 sat=65.1 fundo~49.6%)
2026-03-07 16:45:25,606 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,607 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frames-Laser-Cut-Laser-cuttings-122882824, usando fallback completo
2026-03-07 16:45:25,625 | INFO | Laserflix | 📊 [quality] brilho=193.4 sat=55.1 fundo_branco~35.3% → vision=True
